Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label








192.168.35.28-112.34.111.123-53433-443-6,112.34.111.123,443,192.168.35.28,53433,6,23/11/2018 03:26:39 下午,1,1,1,0.0,31.0,0.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,3.1E7,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,1000000.0,1000000.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,0,1,1,0,0,0,1.0,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,17524,0,0,0,0,0,0,0,0,0,0,No Label
192.168.35.28-112.34.111.123-53433-443-6,192.168.35.28,53433,112.34.111.123,443,6,23/11/2018 03:26:39 下午,2617236,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7641649434747191,2617236.0,0.0,2617236.0,2617236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.38208247173735954,0.38208247173735954,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,65309,0,0,0,0,0,0,0,0,0,0,No Label
183.192.196.38-192.168.35.28-8080-53455-6,192.168.35.28,53455,183.192.196.38,8080,6,23/11/2018 03:27:00 下午,124933,2,6,363.0,1466.0,363.0,0.0,181.5,256.6797615707168,1440.0,0.0,244.33333333333331,585.8469652278372,14639.846957969472,64.03432239680468,17847.571428571428,23385.383959909253,53538.0,1.0,10260.0,10260.0,0.0,10260.0,10260.0,124933.0,24986.6,29565.628410368685,63865.0,1.0,0,0,0,0,40,144,16.00858059920117,48.025741797603516,0.0,1440.0,203.22222222222223,478.8464727284147,229293.94444444444,0,1,0,0,0,0,0,0,3.0,228.625,181.5,244.33333333333334,0,0,0,0,0,0,2,363,6,1466,-1,121,1,0,0,0,0,0,0,0,0,0,No Label
183.192.196.38-192.168.35.28-8080-53455-6,192.168.35.28,53455,183.192.196.38,8080,6,23/11/2018 03:27:00 下午,3631,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.8124483613329,3631.0,0.0,3631.0,3631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,275.40622418066647,275.40622418066647,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,258,0,0,0,0,0,0,0,0,0,0,No Label
183.192.199.142-192.168.35.28-80-53456-6,192.168.35.28,53456,183.192.199.142,80,6,23/11/2018 03:27:00 下午,144573,3,4,385.0,1012.0,385.0,0.0,128.33333333333331,222.27985363800593,1012.0,0.0,253.0,506.0,9662.938446321235,48.4184460445588,24095.5,27578.419162453818,56080.0,32.0,88461.0,44230.5,62137.008396767866,88168.0,293.0,144289.0,48096.333333333336,13835.045078832716,56088.0,32121.0,0,0,0,0,60,104,20.750762590525202,27.6676834540336,0.0,1012.0,174.625,364.18556396430654,132631.125,0,1,0,0,0,0,0,0,1.0,199.57142857142858,128.33333333333334,253.0,0,0,0,0,0,0,3,385,4,1012,-1,31,1,0,0,0,0,0,0,0,0,0,No Label
